name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
frontend.control.install_lua_interface,src/rust/frontend/src/cxx_qt_shoop/rust/qobj_session_control_handler.rs,205,770335,0.004649,2,385167,378971,391364,8763.174368
engine.rt.publish_trace,src/rust/shoop_engine/src/engine.rs,381,279310,0.001686,2369,117,10,100679,2113.593004
app.startup.crash_handler_ready,src/rust/shoopdaloop/src/lib_impl.rs,495,1253,0.000008,1,1253,1253,1253,0.000000
engine.control.drain_queue,src/rust/shoop_engine/src/app_backend.rs,1583,831,0.000005,1,831,831,831,0.000000
engine.control.create_midi_channel,src/rust/shoop_engine/src/app_backend.rs,3673,232616,0.001404,17,13683,9769,21330,4137.613798
app.crash_handling.update_metadata,src/rust/crashhandling/src/lib.rs,59,137362,0.000829,46,2986,1202,19237,3569.302472
engine.driver.wait_process,src/rust/shoop_engine/src/app_backend.rs,3197,14016285,0.084590,1,14016285,14016285,14016285,0.000000
engine.graph.flush_session,src/rust/shoop_engine/src/app_backend.rs,1616,4048,0.000024,2,2024,1433,2615,835.800215
engine.control.wait_result,src/rust/shoop_engine/src/engine.rs,478,1381598456,8.338143,90,15351093,1854,294980865,52354084.101909
engine.rt.ports.prepare,src/rust/shoop_engine/src/session.rs,1849,33051677,0.199472,66953,493,90,35857,851.553589
frontend.lua.initialize,src/rust/frontend/src/lua_engine.rs,269,443442,0.002676,2,221721,183374,260068,54230.847476
engine.control.create_midi_port,src/rust/shoop_engine/src/app_backend.rs,4569,209513,0.001264,7,29930,15529,39765,8753.076116
engine.rt.cycle,src/rust/shoop_engine/src/engine.rs,353,342292623,2.065785,2369,144488,671,1920955,68872.114164
engine.rt.composites.begin,src/rust/shoop_engine/src/session.rs,1838,179369,0.001083,2369,75,10,5520,286.456421
frontend.refresh.queued,src/rust/frontend/src/cxx_qt_shoop/rust/qobj_frontend_refresh.rs,66,916276723,5.529860,1913,478973,3997,1687107,229793.561848
frontend.qml_engine.unload,src/rust/frontend/src/cxx_qt_shoop/rust/qobj_qmlengine.rs,99,16151352,0.097476,1,16151352,16151352,16151352,0.000000
frontend.control.loop_event,src/rust/frontend/src/cxx_qt_shoop/rust/qobj_session_control_handler.rs,2982,97374,0.000588,55,1770,220,8566,2024.171564
engine.rt.routing.external,src/rust/shoop_engine/src/session.rs,1865,14899843,0.089923,66953,222,10,1339744,5208.985202
engine.rt.channels.prepare,src/rust/shoop_engine/src/session.rs,1876,27587619,0.166495,104596,263,90,742704,2367.649158
engine.control.attach_driver,src/rust/shoop_engine/src/app_backend.rs,1983,6863,0.000041,1,6863,6863,6863,0.000000
worker.engine.graph_scheduler,src/rust/shoop_engine/src/graph_scheduler.rs,95,14904988185,89.953717,1,14904988185,14904988185,14904988185,0.000000
engine.rt.state_publication,src/rust/shoop_engine/src/session.rs,1919,2451763,0.014797,2369,1034,20,28112,956.618267
engine.graph.apply,src/rust/shoop_engine/src/graph_scheduler.rs,129,1396028351,8.425229,59,23661497,3176,487299093,88869446.259476
engine.graph.flush,src/rust/shoop_engine/src/graph_scheduler.rs,167,621,0.000004,2,310,220,401,127.988281
engine.graph.build_schedule,src/rust/shoop_engine/src/session.rs,445,9711397,0.058610,46,211117,12494,647896,115417.394513
engine.rt.fx,src/rust/shoop_engine/src/session.rs,1913,14595613,0.088087,2369,6161,80,67376,3644.281031
engine.control.queue,src/rust/shoop_engine/src/app_backend.rs,1322,18858556,0.113814,3158,5971,2775,81854,4891.594921
frontend.refresh.run,src/rust/frontend/src/cxx_qt_shoop/rust/qobj_frontend_refresh.rs,77,910637238,5.495825,1913,476025,1153,1682878,229644.758217
frontend.qml_engine.initialize,src/rust/frontend/src/cxx_qt_shoop/rust/qobj_qmlengine.rs,58,290957,0.001756,2,145478,862,290095,204518.615644
engine.graph.build_topology,src/rust/shoop_engine/src/graph_build.rs,68,3457878,0.020869,46,75171,1252,213761,38910.060270
frontend.loop.update,src/rust/frontend/src/cxx_qt_shoop/rust/qobj_loop_gui.rs,252,51218152,0.309109,17992,2846,811,936147,16077.687830
app.qt.initialize,src/rust/shoopdaloop/src/lib_impl.rs,207,1006867680,6.076589,1,1006867680,1006867680,1006867680,0.000000
engine.rt.driver.dummy,src/rust/shoop_engine/src/app_backend.rs,2749,1426616941,8.609835,2369,602202,1472,394867209,10311979.533897
engine.rt.midi.playback,src/rust/shoop_engine/src/session.rs,1907,2098130,0.012663,2341,896,30,42119,1159.901010
worker.engine.connection_cache,src/rust/shoop_engine/src/app_backend.rs,1780,206418311,1.245764,138,1495784,13445,11207955,2399746.989879
